
0.884 ± 0.002   beta 0.9,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 2,epochs 2000,lr 0.001,m 5
0.887 ± 0.000   beta 1.0,temperature 1,nfactor 5,nhidden 128,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 1,epochs 2000,lr 0.001,m 5
0.947 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.001,m 5
0.946 ± 0.000   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.001,m 5
0.948 ± 0.000   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,m 5
0.949 ± 0.001   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,m 5
0.948 ± 0.001   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,m 5
0.949 ± 0.000   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,m 5
0.951 ± 0.002   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,m 5
0.949 ± 0.000   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,m 5
0.947 ± 0.002   beta 1.0,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 3,epochs 2000,lr 0.0001,m 5
0.947 ± 0.000   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 3,epochs 2000,lr 0.0001,m 5
0.946 ± 0.001   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 3,epochs 2000,lr 0.0001,m 5
0.947 ± 0.002   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 3,epochs 2000,lr 0.0001,m 5
0.948 ± 0.002   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 3,epochs 2000,lr 0.0001,m 5
0.946 ± 0.001   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 3,epochs 2000,lr 0.0001,m 5
0.945 ± 0.001   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 3,epochs 2000,lr 0.0001,m 5
0.940 ± 0.001   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 3,epochs 2000,lr 0.0001,m 5
0.940 ± 0.001   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 3,epochs 2000,lr 0.0001,m 5
0.941 ± 0.001   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 3,epochs 2000,lr 0.0001,m 5
0.940 ± 0.001   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 3,epochs 2000,lr 0.0001,m 5
0.941 ± 0.000   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 3,epochs 2000,lr 0.0001,m 5
0.939 ± 0.001   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 3,epochs 2000,lr 0.0001,m 5
0.943 ± 0.002   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.0001,m 5
0.945 ± 0.001   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.0001,m 5
0.944 ± 0.001   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.0001,m 5
0.943 ± 0.003   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.0001,m 5
0.943 ± 0.002   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.0001,m 5
0.945 ± 0.001   beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.0001,m 5
0.942 ± 0.001   beta 1.0,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 3,epochs 2000,lr 0.0001,m 5
0.943 ± 0.001   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.0001,m 5
0.939 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.0001,m 5
0.942 ± 0.002   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.0001,m 5
0.939 ± 0.002   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 3,epochs 2000,lr 0.0001,m 5
0.942 ± 0.000   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 3,epochs 2000,lr 0.0001,m 5
0.942 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 3,epochs 2000,lr 0.0001,m 5
0.941 ± 0.000   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 3,epochs 2000,lr 0.0001,m 5

0.949 ± 0.001   beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 10,epochs 2000,lr 0.0001,m 5
0.947 ± 0.001   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 10,epochs 2000,lr 0.0001,m 5
0.941 ± 0.001   beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 10,epochs 2000,lr 0.0001,m 5
0.943 ± 0.002   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 10,epochs 2000,lr 0.0001,m 5
0.946 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 10,epochs 2000,lr 0.0001,m 5
0.942 ± 0.001   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 10,epochs 2000,lr 0.0001,m 5

0.949 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 1,epochs 2000,lr 0.0001,m 5
0.951 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.0001,m 5
0.954 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.0001,m 5
0.944 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.0001,m 5
0.956 ± 0.000   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 1,epochs 2000,lr 0.0001,m 5
0.956 ± 0.006   beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ES,run 5,epochs 2000,lr 0.0001,m 5
0.950 ± 0.001   beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset PTBR,run 5,epochs 2000,lr 0.0001,m 5
0.954 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset RU,run 5,epochs 2000,lr 0.0001,m 5
0.950 ± 0.002   beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset TW,run 5,epochs 2000,lr 0.0001,m 5
0.960 ± 0.000,[0.96045657],beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,m 5
0.952 ± 0.000,[0.95202298],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset FR,run 1,epochs 2000,lr 0.0001,m 5
0.960 ± 0.000,[0.95976189],beta 0.85,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset twitch-e,sub_dataset ENGB,run 1,epochs 2000,lr 0.0001,m 5
